post_date,state,count_id_indexed
2021-08-25,OK,2.5949
2021-08-25,OR,2.3087
2021-08-25,PA,2.3794
2021-08-25,Pi,2.9878
2021-08-25,PR,5.8859
2021-08-25,RI,2.8329
2021-08-25,SC,2.3845
2021-08-25,SD,3.0655
2021-08-25,Sh,2.9745
2021-08-25,So,0.0000
2021-08-25,St,1.6546
2021-08-25,TN,2.5818
2021-08-25,TX,2.1699
2021-08-25,Un,2.7744
2021-08-25,UT,2.4317
2021-08-25,VA,1.9167
2021-08-25,VI,1.9415
2021-08-25,VT,2.7861
2021-08-25,WA,1.8840
2021-08-25,WI,2.3228
2021-08-25,WV,2.6029
2021-08-25,WY,2.0742
2021-08-26,,28.0496
2021-08-26,AK,1.7606
2021-08-26,AL,2.5012
2021-08-26,AR,2.8088
2021-08-26,AZ,2.1749
2021-08-26,CA,2.0790
2021-08-26,CO,1.7932
2021-08-26,CT,2.4018
2021-08-26,DC,1.4207
2021-08-26,DE,2.3553
2021-08-26,FL,2.2234
2021-08-26,GA,2.3723
2021-08-26,GU,0.0000
2021-08-26,HI,1.6005
2021-08-26,IA,2.4067
2021-08-26,ID,2.6684
2021-08-26,IL,2.3274
2021-08-26,IN,2.7161
2021-08-26,KA,0.0000
2021-08-26,KS,2.4464
2021-08-26,KY,2.4884
2021-08-26,LA,2.8193
2021-08-26,Ly,0.0000
2021-08-26,MA,2.3301
2021-08-26,MD,2.0342
2021-08-26,ME,2.2657
2021-08-26,MI,2.4697
2021-08-26,MN,2.5059
2021-08-26,MO,1.9743
2021-08-26,MP,0.0000
2021-08-26,MS,2.2315
2021-08-26,MT,2.4965
2021-08-26,NC,2.3958
2021-08-26,ND,2.6523
2021-08-26,NE,2.3293
2021-08-26,NH,2.4970
2021-08-26,NJ,2.3714
2021-08-26,NM,2.0339
2021-08-26,NV,1.9582
2021-08-26,NY,2.1615
2021-08-26,OH,2.5839
2021-08-26,OK,2.5482
2021-08-26,OR,2.3014
2021-08-26,PA,2.4829
2021-08-26,Pi,2.7872
2021-08-26,PR,5.9272
2021-08-26,RI,2.7880
2021-08-26,SC,2.2855
2021-08-26,SD,2.9954
2021-08-26,Sh,2.8662
2021-08-26,So,0.0000
2021-08-26,St,1.5801
2021-08-26,TN,2.5153
2021-08-26,TX,2.2259
2021-08-26,Un,2.9988
2021-08-26,UT,2.3518
2021-08-26,VA,1.9410
2021-08-26,VI,1.6590
2021-08-26,VT,2.4921
2021-08-26,WA,1.8798
2021-08-26,WI,2.2696
2021-08-26,WV,2.5097
2021-08-26,WY,2.0285
2021-08-27,,27.5436
2021-08-27,AK,1.4101
2021-08-27,AL,2.4982
2021-08-27,AR,2.7325
2021-08-27,AZ,2.0719
2021-08-27,CA,2.0941
2021-08-27,CO,1.9044
2021-08-27,CT,2.1399
2021-08-27,CU,0.0000
2021-08-27,DC,1.1934
2021-08-27,DE,1.8747
2021-08-27,FL,2.1142
2021-08-27,GA,2.5494
2021-08-27,GU,0.0000
2021-08-27,HI,1.5872
2021-08-27,IA,2.3326
2021-08-27,ID,2.4614
2021-08-27,IL,2.4387
2021-08-27,IN,2.6977
2021-08-27,JK,0.0000
2021-08-27,KS,2.4961
2021-08-27,KY,2.3358
2021-08-27,LA,3.0310
2021-08-27,Ly,0.0000
2021-08-27,MA,2.2790
2021-08-27,MD,2.0662
2021-08-27,ME,2.5797
2021-08-27,MI,2.3330
2021-08-27,MN,2.4503
2021-08-27,MO,2.1306
2021-08-27,MP,0.0000
2021-08-27,MS,2.3991
2021-08-27,MT,2.2679
2021-08-27,NC,2.4525
2021-08-27,ND,2.9953
2021-08-27,NE,2.1562
2021-08-27,NH,2.3618
2021-08-27,NJ,2.3069
2021-08-27,NM,1.6348
2021-08-27,NV,1.6886
2021-08-27,NY,2.0516
2021-08-27,OH,2.7438
2021-08-27,OK,2.6023
2021-08-27,OR,2.2553
2021-08-27,PA,2.4745
2021-08-27,Pi,4.1550
2021-08-27,PR,6.0016
2021-08-27,RI,2.2808
2021-08-27,SC,2.5109
2021-08-27,SD,2.9374
2021-08-27,Sh,3.0764
2021-08-27,So,0.0000
2021-08-27,St,2.2190
2021-08-27,TN,2.7618
2021-08-27,TX,2.1581
2021-08-27,Un,3.2051
2021-08-27,UT,2.1860
2021-08-27,VA,1.7083
2021-08-27,VI,1.7183
2021-08-27,VT,2.3397
2021-08-27,WA,1.9025
2021-08-27,WI,2.3604
2021-08-27,WV,2.5461
2021-08-27,WY,2.0811
2021-08-28,,28.3289
2021-08-28,AK,1.2610
2021-08-28,AL,2.2537
2021-08-28,AR,2.3251
2021-08-28,AZ,1.7802
2021-08-28,CA,1.9201
2021-08-28,CO,1.6360
2021-08-28,CT,1.8765
2021-08-28,CU,0.0000
2021-08-28,DC,1.0762
2021-08-28,DE,1.6916
2021-08-28,FL,2.1624
2021-08-28,GA,2.2483
2021-08-28,GU,0.0000
2021-08-28,HI,1.3589
2021-08-28,IA,2.0166
2021-08-28,ID,1.9681
2021-08-28,IL,2.0546
2021-08-28,IN,2.3712
2021-08-28,KS,2.3136
2021-08-28,KY,2.0786
2021-08-28,LA,3.0238
2021-08-28,Ly,0.0000
2021-08-28,MA,1.8891
2021-08-28,MD,1.6867
2021-08-28,ME,2.1321
2021-08-28,MI,2.1540
2021-08-28,MN,2.0722
2021-08-28,MO,1.8768
2021-08-28,MS,2.2709
2021-08-28,MT,1.8664
2021-08-28,NC,2.1491
2021-08-28,ND,2.1776
2021-08-28,NE,1.9717
2021-08-28,NH,1.9586
2021-08-28,NJ,2.0095
2021-08-28,NM,1.6865
2021-08-28,NV,1.6447
2021-08-28,NY,1.8078
2021-08-28,OH,2.5138
2021-08-28,OK,2.0844
2021-08-28,ON,0.0000
2021-08-28,OR,1.8818
2021-08-28,PA,2.2453
2021-08-28,Pi,4.4073
2021-08-28,PR,2.6599
2021-08-28,RI,1.9632
2021-08-28,SC,2.0565
2021-08-28,SD,2.1131
2021-08-28,Sh,2.9108
2021-08-28,So,0.0000
2021-08-28,St,2.5959
2021-08-28,TN,2.3222
2021-08-28,TX,2.0234
2021-08-28,Un,2.7913
2021-08-28,UT,1.8530
2021-08-28,VA,1.5985
2021-08-28,VI,0.9176
2021-08-28,VT,2.1438
2021-08-28,WA,1.5912
2021-08-28,WI,1.9460
2021-08-28,WV,2.2419
2021-08-28,WY,1.5789
2021-08-29,,28.7709
2021-08-29,AK,1.2578
2021-08-29,AL,2.2550
2021-08-29,AR,2.2960
2021-08-29,AZ,1.7548
2021-08-29,CA,1.9030
2021-08-29,CO,1.6321
2021-08-29,CT,1.8417
2021-08-29,CU,0.0000
2021-08-29,DC,1.0679
2021-08-29,DE,1.6762
2021-08-29,FL,2.1335
2021-08-29,GA,2.1986
2021-08-29,GU,0.0000
2021-08-29,HI,1.3133
2021-08-29,IA,2.0023
2021-08-29,ID,1.9231
2021-08-29,IL,2.0247
2021-08-29,IN,2.3305
2021-08-29,KS,2.2738
2021-08-29,KY,2.0375
2021-08-29,LA,3.0250
2021-08-29,MA,1.8769
2021-08-29,MD,1.6693
2021-08-29,ME,2.0958
2021-08-29,MI,2.1079
2021-08-29,MN,2.0634
2021-08-29,MO,1.8738
2021-08-29,MS,2.2342
2021-08-29,MT,1.8493
2021-08-29,NC,2.1335
2021-08-29,ND,2.1576
2021-08-29,NE,1.9650
2021-08-29,NH,1.9171
2021-08-29,NJ,1.9887
2021-08-29,NM,1.6764
2021-08-29,NV,1.6334
2021-08-29,NY,1.7733
2021-08-29,OH,2.4936
2021-08-29,OK,2.0442
2021-08-29,OR,1.8432
2021-08-29,PA,2.2155
2021-08-29,Pi,3.8207
2021-08-29,PR,2.6599
2021-08-29,RI,1.9497
2021-08-29,SC,2.0193
2021-08-29,SD,2.0944
2021-08-29,Sh,2.9108
2021-08-29,TN,2.2733
2021-08-29,TX,1.9947
2021-08-29,Un,2.8263
2021-08-29,UT,1.8293
2021-08-29,VA,1.5718
2021-08-29,VI,0.8707
2021-08-29,VT,2.1299
2021-08-29,WA,1.5911
2021-08-29,WI,1.9206
2021-08-29,WV,2.1880
2021-08-29,WY,1.5694
2021-08-30,,26.3042
2021-08-30,AK,1.2394
2021-08-30,AL,2.1093
2021-08-30,AR,2.1903
2021-08-30,AZ,1.6397
2021-08-30,CA,1.7751
2021-08-30,CO,1.5644
2021-08-30,CT,1.7129
2021-08-30,CU,0.0000
2021-08-30,DC,0.9966
2021-08-30,DE,1.5574
2021-08-30,FL,1.9885
2021-08-30,GA,2.0373
2021-08-30,GU,0.0000
2021-08-30,HI,1.2553
2021-08-30,IA,1.9686
2021-08-30,ID,1.8292
2021-08-30,IL,1.8865
2021-08-30,IN,2.1674
2021-08-30,KS,2.1961
2021-08-30,KY,1.8681
2021-08-30,LA,2.2889
2021-08-30,MA,1.7225
2021-08-30,MD,1.5392
2021-08-30,ME,2.0635
2021-08-30,MI,1.9255
2021-08-30,MN,1.9617
2021-08-30,MO,1.8110
2021-08-30,MS,2.0454
2021-08-30,MT,1.7678
2021-08-30,NC,2.0415
2021-08-30,ND,2.0298
2021-08-30,NE,1.8884
2021-08-30,NH,1.8445
2021-08-30,NJ,1.8233
2021-08-30,NM,1.6319
2021-08-30,NV,1.5837
2021-08-30,NY,1.6196
2021-08-30,OH,2.3248
2021-08-30,OK,1.9286
2021-08-30,OR,1.7558
2021-08-30,PA,2.0984
2021-08-30,Pi,2.5198
2021-08-30,PR,2.3899
2021-08-30,RI,2.0421
2021-08-30,SC,1.9246
2021-08-30,SD,1.9944
2021-08-30,Sh,2.0955
2021-08-30,So,0.0000
2021-08-30,St,1.8442
2021-08-30,TN,2.1193
2021-08-30,TX,1.8606
2021-08-30,Un,1.9300
2021-08-30,UT,1.7021
2021-08-30,VA,1.4449
2021-08-30,VI,0.8353
2021-08-30,VT,2.0945
2021-08-30,WA,1.5180
2021-08-30,WI,1.8416
2021-08-30,WV,2.1423
2021-08-30,WY,1.4661
2021-08-31,,29.2627
2021-08-31,AK,1.2816
2021-08-31,AL,2.1347
2021-08-31,AR,2.1704
2021-08-31,AS,0.0000
2021-08-31,AZ,1.6108
2021-08-31,CA,1.7930
2021-08-31,CO,1.5659
2021-08-31,CT,1.7423
2021-08-31,CU,0.0000
2021-08-31,DC,1.0323
2021-08-31,DE,1.6107
2021-08-31,FL,2.0216
2021-08-31,GA,2.0493
2021-08-31,GU,0.0000
2021-08-31,HI,1.2830
2021-08-31,IA,2.0713
2021-08-31,ID,1.8213
2021-08-31,IL,1.9110
2021-08-31,IN,2.1653
2021-08-31,KS,2.2238
2021-08-31,KY,1.9149
2021-08-31,LA,2.0986
2021-08-31,Ly,0.0000
2021-08-31,MA,1.7202
2021-08-31,MD,1.5591
2021-08-31,ME,2.1088
2021-08-31,MI,1.9622
2021-08-31,MN,1.9676
2021-08-31,MO,1.8720
2021-08-31,MS,1.9766
2021-08-31,MT,2.0696
2021-08-31,NC,2.0808
2021-08-31,ND,2.0933
2021-08-31,NE,1.8943
2021-08-31,NH,1.8654
2021-08-31,NJ,1.8597
2021-08-31,NM,1.6144
2021-08-31,NV,1.6717
2021-08-31,NY,1.7018
2021-08-31,OH,2.3515
2021-08-31,OK,1.9009
2021-08-31,OR,1.7979
2021-08-31,PA,2.1277
2021-08-31,Pi,2.5198
2021-08-31,PR,2.6778
2021-08-31,RI,1.8665
2021-08-31,SC,1.8853
2021-08-31,SD,1.9757
2021-08-31,Sh,2.2739
2021-08-31,So,0.0000
2021-08-31,St,1.9187
2021-08-31,TN,2.1149
2021-08-31,TX,1.8743
2021-08-31,Un,1.9469
2021-08-31,UT,1.7026
2021-08-31,VA,1.4876
2021-08-31,VI,0.8237
2021-08-31,VT,2.0806
2021-08-31,WA,1.5296
2021-08-31,WI,1.9446
2021-08-31,WV,2.1556
2021-08-31,WY,1.4825
2021-09-01,,62.9279
2021-09-01,8•,0.0000
2021-09-01,AK,1.1725
2021-09-01,AL,2.1677
2021-09-01,AR,2.2941
2021-09-01,AS,0.0000
2021-09-01,AZ,1.6304
2021-09-01,BY,0.0000
2021-09-01,CA,1.7955
2021-09-01,CO,1.5954
2021-09-01,CT,1.7800
2021-09-01,DC,1.0069
2021-09-01,DE,1.5416
2021-09-01,EN,0.0000
2021-09-01,FL,2.0279
2021-09-01,GA,1.9990
2021-09-01,GU,0.0000
2021-09-01,HI,1.2853
2021-09-01,IA,1.9685
2021-09-01,ID,1.8324
2021-09-01,IL,1.9111
2021-09-01,IN,2.2268
2021-09-01,KS,2.3015
2021-09-01,KY,2.0075
2021-09-01,LA,2.1105
2021-09-01,Ly,0.0000
2021-09-01,MA,1.7376
2021-09-01,MD,1.5264
2021-09-01,ME,2.1053
2021-09-01,MI,2.0041
2021-09-01,MN,1.9715
2021-09-01,MO,1.9573
2021-09-01,MS,2.2153
2021-09-01,MT,2.0859
2021-09-01,NC,2.0467
2021-09-01,ND,2.0801
2021-09-01,NE,1.8051
2021-09-01,NH,1.8062
2021-09-01,NJ,1.8833
2021-09-01,NM,1.6317
2021-09-01,NV,1.6338
2021-09-01,NY,1.7288
2021-09-01,OH,2.3675
2021-09-01,OK,1.9457
2021-09-01,OR,1.7402
2021-09-01,PA,2.2568
2021-09-01,Pi,3.5167
2021-09-01,PR,2.0606
2021-09-01,RI,2.0114
2021-09-01,SC,1.8760
2021-09-01,SD,2.0889
2021-09-01,Sh,2.0000
2021-09-01,So,0.0000
2021-09-01,St,2.4086
2021-09-01,TN,2.1928
2021-09-01,TX,1.9454
2021-09-01,Un,1.8613
2021-09-01,UT,1.6699
2021-09-01,VA,1.4961
2021-09-01,VI,0.6120
2021-09-01,VT,2.0359
2021-09-01,WA,1.4486
2021-09-01,WI,1.8784
2021-09-01,WV,2.2761
2021-09-01,WY,1.4844
2021-09-02,,84.9605
2021-09-02,AK,1.0523
2021-09-02,AL,2.0362
2021-09-02,AR,2.0704
2021-09-02,AZ,1.4869
2021-09-02,CA,1.6281
2021-09-02,CO,1.4588
2021-09-02,CT,1.7384
2021-09-02,DC,0.9153
2021-09-02,DE,1.4356
2021-09-02,FL,1.8524
2021-09-02,GA,1.8221
2021-09-02,GU,0.0000
2021-09-02,HI,1.1445
2021-09-02,IA,1.8654
2021-09-02,ID,1.6616
2021-09-02,IL,1.7900
2021-09-02,IN,2.0207
2021-09-02,KS,2.0584
2021-09-02,KY,1.9559
2021-09-02,LA,1.9067
2021-09-02,Ly,0.0000
2021-09-02,MA,1.6058
2021-09-02,MD,1.4228
2021-09-02,ME,1.9590
2021-09-02,MI,1.8454
2021-09-02,MN,1.6944
2021-09-02,MO,1.7910
2021-09-02,MP,0.0000
2021-09-02,MS,2.0717
2021-09-02,MT,1.9375
2021-09-02,NC,1.8067
2021-09-02,ND,1.8645
2021-09-02,NE,1.6928
2021-09-02,NH,1.6485
2021-09-02,NJ,1.7113
2021-09-02,NM,1.4748
2021-09-02,NV,1.5111
2021-09-02,NY,1.6177
2021-09-02,OH,2.1857
2021-09-02,OK,1.7613
2021-09-02,OR,1.5910
2021-09-02,PA,2.0808
2021-09-02,Pi,3.7781
2021-09-02,PR,1.7150
2021-09-02,RI,1.8329
2021-09-02,SC,1.7501
2021-09-02,SD,2.0655
2021-09-02,Sh,2.1847
2021-09-02,So,0.0000
2021-09-02,St,2.5959
2021-09-02,TN,2.0281
2021-09-02,TX,1.8248
